,subjID,gender,age,correct,RT,MT,sideCorrect,sideResp,condition,block,ratioSm,ratioLg,ratioDist,L_num,L_den,R_num,R_den,ratioNum,order,trial,experiment
65,RA1,1,,1.0,740.0,360.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,3.0,6.0,8.0,10.0,0.38,9050,65,disc
66,RA1,1,,1.0,811.0,300.0,2.0,2.0,Congruent,90,0.53,0.83,300.0,8.0,15.0,10.0,12.0,0.8,9050,66,disc
67,RA1,1,,0.0,3045.0,261.0,1.0,2.0,Incongruent,90,0.2,0.5,300.0,2.0,4.0,6.0,30.0,0.33,9050,67,disc
68,RA1,1,,1.0,1222.0,219.0,2.0,2.0,Congruent,90,0.5,0.7,200.0,4.0,8.0,7.0,10.0,0.57,9050,68,disc
69,RA1,1,,1.0,856.0,240.0,2.0,2.0,Congruent,90,0.13,0.33,200.0,4.0,30.0,8.0,24.0,0.5,9050,69,disc
70,RA1,1,,1.0,1049.0,281.0,2.0,2.0,Congruent,90,0.2,0.5,300.0,3.0,15.0,13.0,26.0,0.23,9050,70,disc
71,RA1,1,,1.0,816.0,400.0,1.0,1.0,Congruent,90,0.17,0.47,300.0,7.0,15.0,2.0,12.0,0.29,9050,71,disc
72,RA1,1,,1.0,900.0,261.0,1.0,1.0,Congruent,90,0.2,0.5,300.0,6.0,12.0,2.0,10.0,0.33,9050,72,disc
73,RA1,1,,1.0,712.0,320.0,2.0,2.0,Congruent,90,0.25,0.35,100.0,2.0,8.0,7.0,20.0,0.29,9050,73,disc
74,RA1,1,,1.0,922.0,281.0,2.0,2.0,Congruent,90,0.3,0.5,200.0,6.0,20.0,11.0,22.0,0.55,9050,74,disc
75,RA1,1,,1.0,1006.0,200.0,1.0,1.0,Congruent,90,0.33,0.43,100.0,13.0,30.0,3.0,9.0,0.23,9050,75,disc
76,RA1,1,,0.0,883.0,200.0,1.0,2.0,Congruent,90,0.2,0.4,200.0,8.0,20.0,5.0,25.0,0.62,9050,76,disc
77,RA1,1,,1.0,1070.0,200.0,2.0,2.0,Congruent,90,0.4,0.5,100.0,6.0,15.0,9.0,18.0,0.67,9050,77,disc
78,RA1,1,,1.0,717.0,619.0,1.0,1.0,Congruent,90,0.5,0.7,200.0,14.0,20.0,1.0,2.0,0.07,9050,78,disc
79,RA1,1,,1.0,605.0,278.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,5.0,10.0,24.0,30.0,0.21,9050,79,disc
80,RA1,1,,1.0,666.0,360.0,1.0,1.0,Congruent,90,0.67,0.87,200.0,26.0,30.0,18.0,27.0,0.69,9050,80,disc
81,RA1,1,,1.0,577.0,401.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,4.0,8.0,20.0,25.0,0.2,9050,81,disc
82,RA1,1,,1.0,770.0,260.0,1.0,1.0,Congruent,90,0.4,0.5,100.0,9.0,18.0,2.0,5.0,0.22,9050,82,disc
83,RA1,1,,0.0,719.0,398.0,2.0,1.0,Incongruent,90,0.73,0.83,100.0,22.0,30.0,15.0,18.0,0.68,9050,83,disc
